아파트,동명,법정동,지번,거래금액,전용면적
금용,,창동,809,"36,000",59.97
한신APT,101동,창동,451,"52,500",84.92
삼창타워주상프라자,,중계동,584-1,"46,000",59.39
상계1차중앙하이츠,101,상계동,1279,"52,400",59.82
한일1,101,월계동,926,"55,000",59.953
극동의푸른별1차,101,중계동,600,"65,300",84.97
현대4차,401,상계동,1271,"51,000",84.99
광덕파크빌아파트,아파트,공릉동,752,"60,000",84.69
초안산쌍용스윗닷홈,104,월계동,945,"60,400",84.69
씨엠아파트,씨엠 아파트,공릉동,568-6,"38,500",73.23
신원아파트,101,공릉동,370-4,"47,000",59.59
우림루미아트201동,201,상계동,1307,"60,000",84.569
신일,101,중계동,589,"42,500",59.97
상계우방유쉘,,상계동,1295,"70,000",116.46
67디벨리움,6.7디벨리움,공릉동,670-7,"14,800",17.27
중계스타클래스,101,중계동,599,"72,000",84.801
녹천역두산위브아파트,101,월계동,950,"69,000",84.9343
건영장미아파트,제102,공릉동,744,"69,000",84.88
소담빌,,상계동,330-29,"10,400",14.65
하늘공원(101동),하늘공원,공릉동,222,"52,800",84.58
노원IPARK,101,상계동,1318,"77,000",145.58
상계대림e편한세상,102,상계동,1301,"61,000",83.87
동도센트리움(601),,중계동,601,"82,000",84.949
중계3벽산,101,중계동,592,"94,200",114.87
정진아트리움,정진아트리움,중계동,137-39,"51,000",84.95
상계1차현대아파트,103,상계동,1055,"61,500",83.92
대호,,중계동,591,"46,000",59.98
양지마을(대림)1,,중계동,587,"105,000",114.96
